Nombre,Ap Paterno,Ap Materno,CURP,Fecha Nac,Sexo (M/F),Correo,Calle,No Int,No Ext,Colonia,CP,Ciudad,Estado,Tel�fono,Celular,Foto,No Ctrl,ID Carrera,Plan de estudios,Semestre,Num Familiar,Nombre Familiar,Contrase�a,Activo
Cooper,Baxter,Jones,4899954,1999-10-05,F,mauris.elit@ullamcorpervelit.ca,7682 Risus Road,430,529,Västra Götalands län,34604,Trollhättan,SI,1518233972,3046100136,jumtest.jpg,10075,arq,auctor velit. Aliquam nisl. Nulla eu neque pellentesque massa lobortis,1,4843411722,Ulla Dale,In nec orci. Donec nibh. Quisque nonummy ipsum non,1
Willa,Tanner,Pierce,4483897,1999-10-06,F,luctus.ipsum@Nullasemper.net,4221 Amet  Rd.,371,848,LX,18478,Villers-sur-Semois,AB,8123086535,6858200923,jumtest.jpg,10076,mer,risus odio  auctor vitae  aliquet nec  imperdiet nec  leo. Morbi,1,5825733510,Deanna Browning,congue. In scelerisque scelerisque dui. Suspendisse ac,1
Lars,Kramer,Matthews,9994112,1999-10-07,F,venenatis@vehicularisus.net,Ap #589-8610 Dictum Rd.,171,447,LK,1388,Motherwell,Wie,8151812413,4370531486,jumtest.jpg,10077,neg,ullamcorper viverra. Maecenas iaculis aliquet diam. Sed diam lorem  auctor,1,6344368509,Josiah Kelly,ornare sagittis felis. Donec tempor  est ac mattis semper ,1
Knox,Reyes,Wilcox,6842716,1999-10-08,M,Cras@volutpat.edu,2287 Torquent Rd.,205,284,CE,82580,Fortaleza,NO,4283836527,3748607187,jumtest.jpg,10078,der,lorem  auctor quis  tristique ac  eleifend vitae  erat. Vivamus nisi.,1,1532561077,Kamal Talley,eu dui. Cum sociis natoque penatibus,1
Winter,Christensen,Mcleod,8001605,1999-10-09,F,Integer.sem@dolordapibusgravida.org,P.O. Box 461  311 Nec Av.,102,991,DO,479369,Weymouth,Wie,9936586247,7888152277,jumtest.jpg,10079,isc,faucibus leo  in lobortis tellus justo sit amet nulla. Donec,1,3930760934,Calvin Evans,massa. Vestibulum accumsan neque et nunc. Quisque,1
Nero,Francis,Logan,1244077,1999-10-10,M,purus.in.molestie@Maurisut.co.uk,Ap #783-3980 Eu  St.,631,881,Namen,339767,Bothey,Imo,5590703616,6579361684,jumtest.jpg,10080,der,et magnis dis parturient montes  nascetur ridiculus mus. Donec dignissim,1,4694722965,Pandora Valentine,Morbi non sapien molestie orci tincidunt,1
Inez,Melendez,Hinton,7396144,1999-10-11,F,taciti.sociosqu.ad@necmalesuadaut.co.uk,499-6172 Sapien Ave,861,839,Vienna,822766,Vienna,Stirlingshire,297234804,4584483511,jumtest.jpg,10081,adm,fames ac turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque,1,1409770529,Raven Mcknight,sem. Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla tempor,1
Cameran,Dickson,Morris,647797,1999-10-12,M,risus.Nunc.ac@felisDonectempor.edu,Ap #136-9782 Tortor  Rd.,289,172,PD,8631,Łomża,NI,4915072166,9281600216,jumtest.jpg,10082,fis,nonummy ut  molestie in  tempus eu  ligula. Aenean euismod mauris,1,355585014,Arden Padilla,a  aliquet vel  vulputate eu  odio.,1
Kuame,Charles,Dean,1575637,1999-10-13,F,fames.ac.turpis@insodales.com,501-6119 Praesent Rd.,233,915,Punjab,4941,Mandi Burewala,Sląskie,5888979973,6716681995,jumtest.jpg,10083,isc,nisl. Maecenas malesuada fringilla est. Mauris eu turpis. Nulla aliquet.,1,3778145653,Colton Yang,hendrerit id  ante. Nunc mauris sapien  cursus in  hendrerit,1
Yuri,Ayers,Bishop,4448679,1999-10-14,M,vitae.aliquet@iaculis.com,8535 Duis Ave,370,341,North Island,123385,Whakatane,Assam,1818972749,2302340272,jumtest.jpg,10084,arq,parturient montes  nascetur ridiculus mus. Proin vel arcu eu odio,1,5002783883,Kiayada Caldwell,magna. Duis dignissim tempor arcu. Vestibulum ut eros,1
Griffin,Simpson,Booker,2796019,1999-10-15,F,placerat.Cras.dictum@sitamet.com,7086 Quis St.,100,627,QC,90762,Deschambault,Imo,6790558361,3813843996,jumtest.jpg,10085,ind,erat neque non quam. Pellentesque habitant morbi tristique senectus et,1,4160059399,Martina Allen,at arcu. Vestibulum ante ipsum primis,1
Rinah,Marquez,Riggs,4701754,1999-10-16,M,Sed.diam@quisdiam.co.uk,7148 Mollis Av.,677,119,Guanacaste,84326,Nicoya,CT,8696596404,9551881295,jumtest.jpg,10086,arq,in felis. Nulla tempor augue ac ipsum. Phasellus vitae mauris,1,6403715789,Nell Patton,iaculis nec  eleifend non  dapibus rutrum ,1
Willa,House,Mason,4754547,1999-10-17,F,nec.tempus.scelerisque@justo.edu,P.O. Box 710  4393 Sollicitudin Rd.,83,404,West-Vlaanderen,33971,Kortrijk,Northwest Territories,4484354138,3973696935,jumtest.jpg,10087,arq,ac  eleifend vitae  erat. Vivamus nisi. Mauris nulla. Integer urna.,1,1678156398,Kiona Glenn,mauris sapien  cursus in  hendrerit consectetuer  cursus et ,1
Dominic,Johns,Coleman,7336373,1999-10-18,F,nunc.ac.mattis@tinciduntpedeac.ca,4200 Aenean Ave,220,337,Champagne-Ardenne,V1S 6K1,Châlons-en-Champagne,Hamburg,5594372942,8279452334,jumtest.jpg,10088,mer,a tortor. Nunc commodo auctor velit. Aliquam nisl. Nulla eu,1,2649962421,Merrill Macdonald,magna tellus faucibus leo  in lobortis tellus justo sit,1
Gloria,Vasquez,Avila,1312729,1999-10-19,F,vulputate@diamdictum.com,396-7836 Vestibulum Road,156,276,Alberta,7851,Calgary,New South Wales,2979947174,4350689611,jumtest.jpg,10089,adm,Quisque imperdiet  erat nonummy ultricies ornare  elit elit fermentum risus ,1,4715907430,Meredith Landry,Etiam ligula tortor  dictum eu  placerat eget  venenatis a ,1
Scarlett,Parks,Giles,9597646,1999-10-20,M,lorem.ipsum@Nunc.org,8516 Quisque Rd.,158,345,Noord Brabant,7401,Heusden,ON,8052096945,2043769712,jumtest.jpg,10090,isc,Maecenas iaculis aliquet diam. Sed diam lorem  auctor quis  tristique,1,2131375028,Karly Carney,egestas. Aliquam nec enim. Nunc ut erat. Sed,1
Evelyn,Copeland,Durham,9522540,1999-10-21,F,eros.nec.tellus@Duis.co.uk,623-8162 In Av.,828,136,RS,5222,Gravataí,Imo,8771388080,6593185739,jumtest.jpg,10091,mer,sit amet  consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam,1,5670212653,Brenden Hopper,tincidunt congue turpis. In condimentum. Donec at,1
Ivana,Massey,Campbell,2762114,1999-10-22,F,pharetra@Phasellus.ca,385 Nullam Ave,799,577,RM,623676,Isla de Maipo,NI,8720710418,8718212260,jumtest.jpg,10092,for,Donec felis orci  adipiscing non  luctus sit amet  faucibus ut ,1,5402241327,Freya Hobbs,est  congue a  aliquet vel  vulputate eu  odio.,1
Austin,Woodard,Salazar,2015135,1999-10-23,M,dolor@etmagnisdis.net,Ap #907-8243 Ultricies St.,574,150,MA,11507,Warszawa,MG,9626302359,2970362129,jumtest.jpg,10093,fis,ad litora torquent per conubia nostra  per inceptos hymenaeos. Mauris,1,1142145212,Fatima Drake,egestas. Aliquam fringilla cursus purus. Nullam scelerisque,1
Ali,Byrd,Clark,8513381,1999-10-24,M,vestibulum.lorem@quisturpis.co.uk,P.O. Box 710  2881 Imperdiet Avenue,869,857,Delaware,76663,Dover,DS,3865305429,4389611070,jumtest.jpg,10094,anim,gravida. Praesent eu nulla at sem molestie sodales. Mauris blandit,1,9508560278,Joelle Morris,ante lectus convallis est  vitae sodales nisi magna sed,1
Mohammad,Goodman,Calhoun,7534266,1999-10-25,F,mi.pede.nonummy@intempus.co.uk,Ap #514-5515 Ullamcorper. Rd.,136,643,SI,99699,Greymouth,NE,9809694637,6076221149,jumtest.jpg,10095,ind,Maecenas malesuada fringilla est. Mauris eu turpis. Nulla aliquet. Proin,1,7242696471,Violet Reese,at pretium aliquet  metus urna convallis erat ,1
Ryan,James,William,2727542,1999-10-26,M,parturient.montes@dignissimpharetraNam.edu,1608 Magna. Avenue,626,263,Leicestershire,4540,Lutterworth,Gl,7693166942,6471181285,jumtest.jpg,10096,der,eget massa. Suspendisse eleifend. Cras sed leo. Cras vehicula aliquet,1,7739587073,Moses Gamble,neque non quam. Pellentesque habitant morbi tristique senectus,1
Marcia,Richardson,Larsen,4928378,1999-10-27,M,ultricies.adipiscing@magna.com,3145 Neque. St.,734,277,WV,78503,Damme,Comunitat Valenciana,9197448601,2749910589,jumtest.jpg,10097,mer,lorem vitae odio sagittis semper. Nam tempor diam dictum sapien.,1,109177794,Jacob Kelley,mi. Aliquam gravida mauris ut mi. Duis risus odio  auctor,1
Harrison,Faulkner,Ewing,3516942,1999-10-28,M,metus@ut.edu,P.O. Box 242  3643 Nascetur Avenue,757,509,OÖ.,33432,Bad Ischl,Connacht,9217253823,3666212916,jumtest.jpg,10098,der,ligula. Aenean gravida nunc sed pede. Cum sociis natoque penatibus,1,8512409547,Kieran Coffey,Nullam lobortis quam a felis ullamcorper viverra.,1
Curran,Becker,Carr,4747925,1999-10-29,F,montes.nascetur.ridiculus@anteVivamusnon.ca,355-2555 Ridiculus Av.,311,167,Gelderland,75998,Arnhem,Rutland,8474001667,9964785365,jumtest.jpg,10099,ind,ipsum sodales purus  in molestie tortor nibh sit amet orci.,1,4076594695,Raya Becker,ornare tortor at risus. Nunc ac,1
Orson,Sparks,Nelson,3031548,1999-10-30,M,libero@ac.net,742-8669 Mollis. Street,388,723,TX,88-119,San Antonio,VT,7448041640,6279462195,jumtest.jpg,10100,neg,vulputate  lacus. Cras interdum. Nunc sollicitudin commodo ipsum. Suspendisse non,1,9805224636,Charde Mayo,Mauris blandit enim consequat purus. Maecenas libero est  congue a ,1
